UEN	label	avg_predict_proba_1
c3302ea626ef2ec125d62dad1894b63803eaa2680bce772e7a8ebeb23c13e1fa	1.0	0.3855555057525635
2b7dbb928af550f078b31a911abacf5f54d70fdde4b94f2c89c717355d3cf9f0	1.0	0.3566130995750427
de3dd5598e51722cafb825c1b16c80db418c93f361fe5d5bc6f3a790af0fc84f	1.0	0.5671887397766113
f50bf0386da5dc5659fcf8b5020cba5398f28c90332cba52c0d80eaa8a69161d	1.0	0.2699763774871826
61923c8575eac8232833c64df7a4f0c0fad6eb28002ca7bdc8754a5b4520005b	0.0	0.2161390483379364
f6aff09db7d113fc488d3804a0cb3180d3cc05e5377b1def45036dc12557160b	1.0	0.2884337902069092
1dc2f26045c602c55aea641c57a6192ea75c0c05f876fe94b5ce341c932e97fa	1.0	0.5275405049324036
9c8680e31ee5b40bdc24de4ba5f494caf10b679220e0148d904ff51ca23544ea	0.0	0.2483294457197189
ab3b368059f163a6f6881796258ccf31751e30295493e3a8819807add414a249	1.0	0.4863215982913971
3e6f32ff42343078593fa7687d9afe3123a2220b73bb29edfe051b10c646b646	0.0	0.2462996542453766
905eb16be87ecf0964a9de42e192e9c79cf1e0c0fae475f408d5e141b58b81f8	1.0	0.8713030815124512
3b9b19f12e344c6741bfd8994f8b53a93356d399fb27e51adf50f478b3adb609	1.0	0.3063673675060272
eab5be854b9d1ba369e4fede2941cd99f643f57ad7abeef783a6965bcbe0a584	1.0	0.4922471940517426
5f82566e0e40c217ab3d5ab5a872601e8f8b265c9b637f0a736964d896095e3f	1.0	0.4707842469215393
7d9c68dd2369ba3520897e340fb69a5650c6282f2c8d0b300a5b5e7cbaef4b59	1.0	0.4515699446201325
2a84873d0cb2a4df1b3cffbb5a769d0361bc00d8124eb865134f8c7b55a5e10f	1.0	0.5489250421524048
3781c4fa01a4453e15e528d3ec85d76144773d97a1614304333eff83f59a75f9	0.0	0.3122110366821289
091d96c4cfb15fef3e553b31ce434c65197cbea65a0f46745b41c600443de17c	0.0	0.1859534978866577
a435715d6a5d4fe30783b39a447ce258344f449d7fba6bd99c48b951a45f507d	1.0	0.611469030380249
c5dacdaaa049c330500ec52b3a8da3ebc76848298278aa02667d25536ab65bcb	0.0	0.2690339386463165
e5c8aa2774f2ad14476d1b976f484da421d7eb844a03198ab2924febab940631	1.0	0.559893012046814
b585a25de5431cd0beee4497538e4a3b7c8a0c3f5a37dd028d679b09aa55896c	0.0	0.269965648651123
6cecc938f4dd20130d896af14c8c492e07f8dbe2fe79367c2b70a5411b3a0148	0.0	0.2532021701335907
fa6c155b18ae754e1a8b672a08315f3188a6e48ce90bdad311e6fe70914522d8	1.0	0.4970276951789856
eba460bd703fc074226e92b9719419d6c6537063195aaa5f75091881eb812b33	0.0	0.1167949810624122
0f8fbdc8543c6d92251479aeefcb1c102641fab5252531c8ade99708aff7485e	1.0	0.2950013279914856
f72e10cd7ad3ef2c5fc940c982f3f71d3e55d2eae63535dd902a0d5258a70189	0.0	0.2648652791976929
ed106c5a6931c14a6484a4fc57136642e4eafb7f76e297aeba2a0cd82a6a3442	0.0	0.1461095809936523
6d9efa2fe48994afe0523e6db58b20925469d626ba70b12ad82dfb3500a409c1	1.0	0.4750678539276123
303c218db2bd6012837a944e236662110f53cbd66ff4c268d8a6e5bddce23757	1.0	0.2551145851612091
22b8d66852e6d74dc6fbbe5889afea336b7668fd8c23bcc7ce74fec4f9e65131	1.0	0.4960827231407166
5226b9d9eacb943106c7b6fadeac8c249c740a0f877c2214f23d065179c1f41e	0.0	0.1315004527568817
