SOURCE	UEN	CLUSTER_DEFN	OR_CAT	EMP_SIZE	REF_YR	Age_Band	SSIC	WEBSITE
ORBIS	4161256cf472477e674904e9c7b2c3ddf59bd4ebd11c3cf9599feff249ae8d88	11 Wholesale	03. 1mil -<= 10mil	Missing EMP	2023	02. 5 to <= 10	46900.0	www.aura.sg
ORBIS	dfe515d6c75c00102e527612f5edbc56cb5b89584e995c4a42a28e5cebfdcfd5	13 Transportation & Storage	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	49215.0	www.mnmlimousine.com
SGNIC	c1f97d2562222d89d67581c20a1462e0d26b4cb3af75f474500a3eebeaa3f210	20 Administrative & Support Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	82303.0	www.distancebetweencities.us
GMAP	bf97ce46c45dbeaebf2f445c95668a3b98ec0cc6b0993a01b33c3ebe111a1f06	20 Administrative & Support Services	06. 10mil -<= 100mil	01. Employees <= 10	2023	03. 10 to <= 2	82110.0	http://www.symphony-fp.com.sg/
ORBIS	eff489c8722ec07a1498399ca72271d7f569ae545a8be9578f8d7747417de46b	17 Finance & Insurance	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	64202.0	www.regalinternational.com.sg
SGNIC	3ad05554b1a1a54805b3007a05ed997d8cf7e4237cc12c332c0f90574d226c7a	19 Professional Services	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	73100.0	www.streetdirectory.me
SGNIC	e5e4b594b3a11ed4a38975281472b9f0e1b50cdb4d052969cedfe6f44740e7a9	17 Finance & Insurance	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	64202.0	AURAGROUP.COM.SG
ORBIS	c0605cdb2ff95904c9af9c1da7607a153d6ae84820d4528f4658cb7acb8eedcf	02 Construction	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	05. > 30 Years	43909.0	www.deep-freeze.com.sg
GMAP	415aad73aeeee4d8cb35f16b5713543ac667565ff3853758a491140cd5c2ba19	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	69202.0	www.sgpbusiness.com/company/Jabez-Integrated-Solutions-Pte-Ltd
ORBIS	7ac5ee79eefeaee80fee2b5319a99b53c695ebd3b4112158421834e485eefacf	19 Professional Services	01. <=1mil	Missing EMP	2023	01. <= 5 Years	70209.0	abbesses.ventures
ORBIS	844231af58758668d0d97717cbaa498db832de38219d79786fb66adea7f1749a	19 Professional Services	01. <=1mil	Missing EMP	2023	01. <= 5 Years	70209.0	writerandco.com
SGNIC	4d16deb39ae38c9c5e546f9d8b9a62c3d858f0fee09ca1eaef77c98df7dd678b	02 Construction	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	41009.0	XTREMEAIRCON.COM.SG
ORBIS	5f58e0c11c233a9916bb8503ac297927383c4fe7aa00eb5af6473ee94e4f2dfa	17 Finance & Insurance	06. 10mil -<= 100mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	66301.0	www.arohiasset.com
ORBIS	a23793a8b21004083b9522c62d2eacf540b89663f0bfa820e2ddf93c134d83ff	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	47533.0	hongda-services.com
SGNIC	13b5b64226b21cd9e9612bab485a3dea45a7b11d0af02da402b48b0250fc1c47	02 Construction	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	43210.0	YOLKA.COM.SG
GMAP	cdd73dbfddd32fb787fbf80a404b81404965a1b1f0953f8edc6f916b3ac3146d	19 Professional Services	06. 10mil -<= 100mil	03. 50 < Employees <= 200	2023	04. 20 to <= 3	71125.0	www.cse-global.com/
ORBIS	c1d9f4a7f4f15031bc5fd8d9775a796194fcf17e89891eefdac0a58286888586	19 Professional Services	08. Above 100mil	04. 200 < Employees <= 500	2023	05. > 30 Years	70101.0	www.caterpillar.com
ORBIS	8761642ed845f43ad96b93191c7eeb8027d8f55ba6f51b23f1a7239e50429a00	02 Construction	01. <=1mil	Missing EMP	2023	01. <= 5 Years	43301.0	hummingbirdhomedecor.com
GMAP	4154100b9612897587ded288c56217796815e65f37b0742c16113a95d4365c72	16 Information & Communications	06. 10mil -<= 100mil	01. Employees <= 10	2023	02. 5 to <= 10	62021.0	puresoftware.com/
ORBIS	1502ca598cb6a6774b9fd4644eb0fe10bd3a0cb92a8c565892896ed5f0c4300e	02 Construction	06. 10mil -<= 100mil	05. Employees > 500	2023	05. > 30 Years	41001.0	www.dragages.com.sg
SGNIC	36691064c6012fc67111b77c4d946f99fb44bb4f305d61cf46f7cd8784433436	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	70201.0	ANTZCAPITAL.COM.SG
ORBIS	41cd2b8685cc9820f267abd1cbbfe7b97cb79721098d8a4b546efb9b00b69575	19 Professional Services	06. 10mil -<= 100mil	02. 10 < Employees <= 50	2023	04. 20 to <= 3	73100.0	www.economistgroup.com
SGNIC	3bafdb8ced9fcdb11f01bf7736b852156cf99ef0e33d64bbb26f38a973aa466a	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	46900.0	GSS-SERVICES.COM.SG
SGNIC	f5079645857b7cb9244fee134cbcd65eee3125e27e341d10f507610c22a75bd0	01 Manufacturing	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	25999.0	FINETEC.COM.SG
ORBIS	1183091ef3b21d5a2d94847a83aa2b166db58a9d24d061b97e0ae95396fa91ef	20 Administrative & Support Services	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	77391.0	www.audiovisuellepro.com
ORBIS	ebc517c39f1f66a0cd1a55774032edd06f70fe5b7e4aa0da8a9199b5a589d1c2	16 Information & Communications	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	62021.0	www.aggasys.com
ORBIS	7ca0f5e67c333440c2bb9ee3b1d7365417a24aec172f06244d951fce5726d187	02 Construction	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	43305.0	dor-com.com.sg
SGNIC	94e2190111df405c2ecb295efaafdffaa50538a5e22a4c11c6e60df71927cee0	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	93209.0	SLINGSHOT.COM.SG
ORBIS	fc49be58217ba9e7f37568b68085ea5b3c9db751b04c0e198ae456d260000b61	01 Manufacturing	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	04. 20 to <= 3	31001.0	www.binjai.com.sg
GMAP	52f05e259dd0a6bbf6bc7802686b1e72fae8aea7246dfeec99ab5ac4b5db9213	20 Administrative & Support Services	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	81300.0	http://www.plantedearthdesign.com/
GMAP	e2b2554034d8c22ac7d82fb895256e614b7cae99a0f238e8eaf87979b71e0d0b	17 Finance & Insurance	01. <=1mil	Missing EMP	2023	04. 20 to <= 3	64202.0	www.nylect.com/
ORBIS	e497eafa107b5d82837d2a1b0423924023a10dc97c14c9a27a72f24d3288a690	19 Professional Services	08. Above 100mil	05. Employees > 500	2023	05. > 30 Years	71121.0	www.johnsoncontrols.com
GMAP	f74bda3ddb79c47da7ddfb2e1987520db5473f2ebdc3a1ec0b0b3a40217c37b8	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	46900.0	minebiomass.com/
GMAP	67c2abf54922ee6a7c55fb6bc2757851c2a1379e5a7c3ca44d834d0430e58e89	17 Finance & Insurance	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	64929.0	www.sgcarmart.com/directory/merchant.php?MID=10797
ORBIS	8c41a1acd0602ebc2a187116fafb827a796216f58af2cea0c39e63ea30a35802	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	02. 5 to <= 10	46632.0	www.jalhardware.com.sg
GMAP	47aa3f78cb4eead681554e58d3549d0e6ac980f175a0f81e89e3d9d4890b8f98	17 Finance & Insurance	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	64202.0	www.kkr.com/
ORBIS	2eeca396036c6c7dd8a1c2d925ab79a3583a8d80061fd29b7e988a1d4004f037	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	95110.0	www.fredrikmarine.com
ORBIS	7a5b44bc92d18eaf7b8afd989443735add4cbc94d6c7b18c265807f6817eaf17	20 Administrative & Support Services	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	82303.0	www.auxano.com.sg
GMAP	0142520dc1e6512b07c5ec8602e86c477bbdb9912ee9f02133c8270f06b37fd1	21 Other Services Industries	01. <=1mil	03. 50 < Employees <= 200	2023	02. 5 to <= 10	94912.0	masjidmaarof.sg/
ORBIS	0ef2aa172b62980ab770f379a4c6cc57ec8175f64b5c6a6cc58bd5d9e0e17652	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	04. 20 to <= 3	46301.0	www.tianshenghub.com
ORBIS	bcc378f2c0a39c09092b14ddecd982caa909243838730042b211f360169b4269	19 Professional Services	01. <=1mil	00. Non-Employing	2023	05. > 30 Years	70201.0	aeaalliance.sg
GMAP	633063569a30d38f876ee1cc82586afe1a1a150799f4c205bec2cf3be982ab9b	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	86909.0	http://www.sata.com.sg/
ORBIS	e8e3816e86507767172c3a7c39820487cde99a4d82c6e12f5750f8b0c8677efa	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	46620.0	www.onemetal.com.sg
ORBIS	294f298cb8d973134aff3cac15b63419b9dfccc72c31f4beeb98fbeabdeb21f2	21 Other Services Industries	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	93111.0	fitnessevolution.com
ORBIS	26d0aa643baf2b9107b40a06b0b493919730198ed3fff8f0850ac16b09d90450	11 Wholesale	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	01. <= 5 Years	46301.0	ever-shine.com.sg
ORBIS	7d5f2e5625983afcc17a102d2a3fc04c3b49aff7b2974b58e50ac22a938aed38	16 Information & Communications	01. <=1mil	Missing EMP	2023	01. <= 5 Years	62022.0	www.singaporetech.edu.sg
SGNIC	cec85aff5f21ef6ae3b5163a838968a3befb4b65eb712a5a07d49b12978179a1	16 Information & Communications	01. <=1mil	Missing EMP	2023	01. <= 5 Years	59113.0	DOUBLEUP.SG
ORBIS	bb8c0d4994c5189f4c83fde282ea9be3e97e4ee59141eb528f140b378ccfe4dd	19 Professional Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	70201.0	www.starmags.com.sg
GMAP	36d69221883549b7f74a604c36af10b4a0102ee0bf3bf73270a3b20290d98278	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	86201.0	https://www.healthhub.sg/directory/14/59501/pier-medical-centre
ORBIS	a608a05447a2dc6814fe65edbe4b6f26065682a651d483eb901c7796e4d7562d	11 Wholesale	01. <=1mil	Missing EMP	2023	01. <= 5 Years	46900.0	www.eaststartech.com
ORBIS	870fc84c2acf6e21dd90f3bf23a31abb389ad4e0141aa9f34bff693eec55cf43	20 Administrative & Support Services	03. 1mil -<= 10mil	01. Employees <= 10	2023	02. 5 to <= 10	80100.0	www.aetos.com.sg
ORBIS	a7ac89a0284cef88cc50e0129c3b3d3a47e24242d47f8e3be45879f702663fd7	21 Other Services Industries	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	85408.0	www.balletandmusic.com
ORBIS	e974f274f443c80ab7d0bdec8daef99821b6cb53969c33aab5eb6daf6b98e708	18 Real Estate	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	68101.0	www.goshenprime.com
ORBIS	ad8f37dd35ced0acea35af87c3fc4edccc064ef74fb46ca892216756b3c2dd6f	12 Retail Trade	01. <=1mil	Missing EMP	2023	04. 20 to <= 3	47630.0	www.cyclinglesson.com.sg
ORBIS	b1eacfd5d57a0a64db984c7e40abd4246dda848c7b5872daeab8ea1a74518486	16 Information & Communications	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	01. <= 5 Years	61092.0	telin.sg
ORBIS	1a8362c5b5d21d886ec4b1654808cb9cd4c015aa758d6f03875ef147f9c78415	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	43299.0	www.audax.com.sg
ORBIS	70908e5d6607c8f99e3235bdfe31dfec4636dd17db603cf5c1a9388c7d2d4c91	02 Construction	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	43301.0	drfenterprise.blogspot.bg
SGNIC	7b8872ec98b55d3cf9d8b46801db23dadc389ba0f6011f70c76c6a3130880a3b	11 Wholesale	01. <=1mil	Missing EMP	2023	01. <= 5 Years	46900.0	TALENTPRECISION.COM.SG
ORBIS	5d9bfa369cc1af30925498ea6cc1bd5e8fbd1353ff8fb40315345901d3be4c0b	21 Other Services Industries	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	86203.0	www.heartmatters.com.sg
ORBIS	ed33184b26d1ed415a3a34a1148a5086d12651710c8313a7e5802aa703625cc7	18 Real Estate	03. 1mil -<= 10mil	01. Employees <= 10	2023	04. 20 to <= 3	68101.0	www.estate.sg/paya-ubi-industrial-park.html
GMAP	9235766c876e32d68f427aa00bff503f06c49ace67dcd7513d38d55f90fc6d97	01 Manufacturing	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	25111.0	www.facebook.com/XiangJinIron/?ref=aymt_homepage_panel
GMAP	eab9a87014651589ae4a3dccc7b93f2039070b486ca16d24274bb0da18b9e02e	16 Information & Communications	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	62023.0	cubepayment.com/
ORBIS	9a5d026f88a29b6665ffaa2d99d9026d174c4b9f7730c3e61b9ece6e03fddec6	11 Wholesale	06. 10mil -<= 100mil	01. Employees <= 10	2023	05. > 30 Years	46421.0	www.hogdiamonds.com
GMAP	578b4431e760b1676b7e37fe364413930721592f67a840d5ca8d5cd40cac7683	21 Other Services Industries	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	96023.0	hanahnails.com/?utm_source=gmb&utm_medium=referral
SGNIC	fe3047d9df936e2222b41f92bcd135759057d4f2535b9ccecdb1c98d75fb1f70	21 Other Services Industries	01. <=1mil	02. 10 < Employees <= 50	2023	01. <= 5 Years	95301.0	PAINTCONCEPT.COM.SG
ORBIS	625e0ac00928171ec8f502caca9fcfe8b80a49d4f4744ce243efb31758674369	17 Finance & Insurance	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	64202.0	www.aoxinqm.com.sg
GMAP	78a86ce26a20d8d8c3414ee2c2d0a4b37e11e33c6f2540dd072fc3421ce54dbb	15 Food & Beverage Services	01. <=1mil	Missing EMP	2023	01. <= 5 Years	56111.0	www.mookata.com/
ORBIS	58c8c1d74f1ab32d84236e5cd533a723f00a8c233fad334f5fad966e42dc3178	21 Other Services Industries	01. <=1mil	02. 10 < Employees <= 50	2023	05. > 30 Years	95301.0	www.stcars.sg
GMAP	85da039ea5ce6159c77412a72a82fcff51fd8597311c114f135660ae3034e7b2	21 Other Services Industries	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	85403.0	www.icastec.com.sg
ORBIS	bcb84c814ef8d1d8d39768ec444403ebcc503ca2378c4e24474fe228131eb034	11 Wholesale	03. 1mil -<= 10mil	03. 50 < Employees <= 200	2023	05. > 30 Years	46591.0	ptc-business-systems-pte-ltd.business.site
GMAP	4f059190c904927d3c59b27bb69c9b49b2bc6db0fe74acbfaecc95a0fe69fe40	13 Transportation & Storage	03. 1mil -<= 10mil	Missing EMP	2023	02. 5 to <= 10	50021.0	http://www.wilmar-international.com/
GMAP	b954b2dd53a77fdb1a296bcc6d2cb48926f8d623f192aa82c625e4e7cb5b131c	16 Information & Communications	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	62011.0	openlink.com/en/
GMAP	41a9ebba0c5c43ed34f3ca25f9778d21515316c25b7d9666aa9817754670970f	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	96022.0	www.willishave.com/
GMAP	c1b7224033375b74d469deb212631b72e525959ec0f297d100b405b58ada844a	12 Retail Trade	01. <=1mil	02. 10 < Employees <= 50	2023	01. <= 5 Years	56111.0	yi-pin-ju-chinese-restaurant.business.site/?m=true
WORLDORGS	1516f7766172b337a2c39eea934405ada559518ea95bfc8222272b5fbac5833c	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	86201.0	https://65doctor.com/doctor/david-w-h-kwee
ORBIS	80eac731ed3ae74228e2c6c5c6df526b749301080d3a739a629e4a61b64e20b4	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	72106.0	www.ritusbio.com
SGNIC	8cea613f19b5564b44a115f221c3e5e9c8ccc2c81ee1a6ab12d629661d146256	16 Information & Communications	01. <=1mil	Missing EMP	2023	01. <= 5 Years	59202.0	CONNAUGHT.COM.SG
GMAP	47ef4aa08ec7474947b1d6dcc885e16810ad0a79d5ce4d143812ca86c4b9e790	01 Manufacturing	01. <=1mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	26119.0	zerro-power.com/
GMAP	62b65fb17d2152349ea4911d999af501ac6afce8caac74c6093a660013089e0b	21 Other Services Industries	01. <=1mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	95120.0	www.singapuramobilerepair.com/
GMAP	f6665771e39902ddc164a94637e8b376d670183af5f63c01670703d857701591	15 Food & Beverage Services	01. <=1mil	Missing EMP	2023	01. <= 5 Years	56122.0	https://www.briskrenovation.com/
ORBIS	30fdf0e1655598ebb77c1ff72826a3ea9c199f7dff3ef600903ba7c798938ba7	18 Real Estate	01. <=1mil	Missing EMP	2023	01. <= 5 Years	68106.0	sunteccity.com.sg
ORBIS	0870305b13cb036cdb93a3af46e4573f0b6178117619c9232df2b0a2e619640b	12 Retail Trade	01. <=1mil	Missing EMP	2023	01. <= 5 Years	47729.0	www.thegreencollective.sg
ORBIS	483dc1c5c11c9221f39430061595ac49783d903185b2408eaa8e74850ecef077	01 Manufacturing	06. 10mil -<= 100mil	03. 50 < Employees <= 200	2023	03. 10 to <= 2	10732.0	www.aalstchocolate.com
SGNIC	b952c54cc73bdd4ea06df9388c9844d44744d58886fbdb76debfb686a5856312	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	93119.0	www.sportzkulture.com.sg
GMAP	66e00f0209dfd5e44e062a0b24aaf6d1510d610f756ef55c64cbec92e8e6b52b	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	46301.0	www.facebook.com/sgmushrooms
SGNIC	92e22cd208d511b7d2e6744610afd0c093d4984fc7b36e46b0f5b15c2449bee1	11 Wholesale	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	46900.0	ALVIN.COM.SG
SGNIC	9a9b7fab5d6f9797d1f6a99e6dbc7ccf439fff2892e8994ab4ef84a641fd8828	13 Transportation & Storage	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	52292.0	DRINKDONTDRIVE.SG
ORBIS	036f8a25fc484df72c518d52fd50db5bac924739e015c2b2e7560b8fb69464d9	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	93111.0	imsolutions.com.sg
GMAP	68ce71fdfbb6de3b92cca9b848c28a724ee4d3db3ddd06c7b2e943429bd70352	11 Wholesale	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	46900.0	http://www.k4connect.com/
SGNIC	078454b0a404a873b7c9860b7e8be31cef5f9d1d38ffd26ce9c6a730bd4f1484	12 Retail Trade	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	47733.0	www.menswearsingapore.com
ORBIS	79ca396f0920a0c454e6b86655bb33cb97ef198646e477199ebbf74940387c57	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	46900.0	micro-optics.com.sg
SGNIC	5b7655162e5b7ca80a82952b5de2d4ccf39f463a073f8c70843e8b71d70e8949	16 Information & Communications	03. 1mil -<= 10mil	Missing EMP	2023	01. <= 5 Years	62011.0	METAJOY.SG
ORBIS	02e8fa229dcc64f5678fb7e6bf80a9cea507849d26c93909991ea386a535fed6	15 Food & Beverage Services	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	56112.0	www.thuscoffee.com
GMAP	454dba65627b45c4e0e0b14ea15dd5075c002d313f8ae0922c3b381c53d4f9e6	01 Manufacturing	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	10719.0	http://www.jadedmacarons.com/
ORBIS	e93439ba438414ebab788a01fc87973c321774416b9a8453d8bf7fd0e89cb463	16 Information & Communications	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	63120.0	www.carotechs.com
ORBIS	d2ec57b07061645591b408ef9b39f41871ada1a8da97267c83b165bf32d9fa61	15 Food & Beverage Services	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	56112.0	www.liuxiangtea.sg
ORBIS	6fae935550d01d772d2e480266a6160f04ae8945afce563fe19417c8f7d86f8a	13 Transportation & Storage	08. Above 100mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	50021.0	www.chevron.com
ORBIS	f0726d2e4cb32f552b5fc44ef933a5286e4a0e6796a309fa6f15ae2faecc08c2	17 Finance & Insurance	03. 1mil -<= 10mil	01. Employees <= 10	2023	01. <= 5 Years	65202.0	www.pinnacleunderwriting.com
SGNIC	7ba187cce4830364c40dc7d72494eb98907e7d7a7583db957ac5ead5bb64321b	02 Construction	03. 1mil -<= 10mil	01. Employees <= 10	2023	04. 20 to <= 3	42909.0	ISE.SG
ORBIS	c9f24ad3547abfee137a48863380f2c7ce0446c0ea46e8787334fc3d0b6b931c	01 Manufacturing	03. 1mil -<= 10mil	03. 50 < Employees <= 200	2023	05. > 30 Years	25921.0	www.sterling.com.sg
ORBIS	2cc6737b48ef8f1b7dc561af9e5f82cd691c8074127fd6ed197f56a0543ed786	17 Finance & Insurance	06. 10mil -<= 100mil	04. 200 < Employees <= 500	2023	05. > 30 Years	64202.0	www.sembcorpmarine.com.sg
ORBIS	7896b026e71a9482d69de7f2e32e077d3d0e209bad0bc50c4c197df53da3564b	17 Finance & Insurance	01. <=1mil	Missing EMP	2023	04. 20 to <= 3	64202.0	keppelland.com
SGNIC	c67ed936ace381d618c650a261e2e8fef39060fbbdb4c733bb0ee35555230ada	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	70201.0	LGB.COM.SG
ORBIS	a6b6191ebc97becb0a3f111e15891735b04b4fca2ecbeca2b8e081ae7ada3293	16 Information & Communications	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	04. 20 to <= 3	62021.0	www.transmexsys.com
ORBIS	8f055c9154719fa61d7ba6950a9f0bb4b5ab287231930c992c3a9816c3d51dd7	16 Information & Communications	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	61091.0	www.italkbb.com/us/chs/index.html
ORBIS	9e08e34fe538795f97cc32ceb17c29be491d918697f70ffbd749bd13c0490a79	11 Wholesale	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	46610.0	www.alwadoenergy.com
GMAP	fbde98a35879bd1ab054a2a699b545aa3a238b865d0ef61083cacb5539568818	19 Professional Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	70201.0	https://www.youtube.com/c/shinyhappype0ple
ORBIS	4196ec8c9eb5131c250f30bcfad06000239af30f5e3ff74d6831f4e2a9cf8661	02 Construction	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	43121.0	arges.com.sg
ORBIS	4a576a3f5a5eb33a63e6980a1b0bc3b7ed723d382d86dc6ff885c68c4630267c	11 Wholesale	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	46900.0	giftsdesign.com.sg
ORBIS	60928e21b70f27da810e6843353e185218ed0252885bae30801b5a89e53d9fa4	17 Finance & Insurance	01. <=1mil	Missing EMP	2023	01. <= 5 Years	64202.0	www.asiandetours.com
GMAP	8bb525a5b70e09a7bd92ed4874af010fd1702506dad348897204155b360dabc3	19 Professional Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	70201.0	www.compassoffices.com/en/locations/singapore/singapore-land-tower/
GMAP	b411592905a7f73b070863859a0c2754d605900f3b87501345d9b7e19f4f9560	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	05. > 30 Years	46473.0	www.yellowpages.com.sg/company/acts-plan-pte-ltd
ORBIS	5ae1546b6d7b415aa822f24a1df0ea0a62be1a21540c1bebc577ea5c47832c3d	02 Construction	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	43210.0	gslproductions.com
GMAP	281e27a8f85b47f77cd8e77828ea271208ffaf79840f841c7ef2374faa666c8f	02 Construction	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	43220.0	www.bca.gov.sg/BCADirectory/Company/Details/200402113E
GMAP	03a647180fc195b553e67d6e87d4aa3779c3112cc777d1fc4795827d61713829	17 Finance & Insurance	06. 10mil -<= 100mil	Missing EMP	2023	01. <= 5 Years	64202.0	https://www.robertwalters.com.sg/
ORBIS	98c6659f1db5c3e845b00adf9f57e2ae3dad2286ef1153c1edeb57e623dcec40	20 Administrative & Support Services	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	81300.0	www.amozonialandscape.com
SGNIC	7d1111e1c7e4a80293676eaa5dae0324920581605c16b27ee6dcef1eb1788f26	21 Other Services Industries	01. <=1mil	Missing EMP	2023	01. <= 5 Years	85409.0	TERRAFORM.COM.SG
GMAP	6e9f94a6d48360b41168b8fad26b03b37f0590da4d0d412fe997a517463c81b5	21 Other Services Industries	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	96024.0	agynessbeauties.com/
ORBIS	e0713d244e302bded27c57e6825f02df2c053ff1008adcbd79cf4dc1ac4dd250	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	04. 20 to <= 3	46900.0	www.procomps.com
SGNIC	a034eeffd9c0c7bafeaf6453c2488057d60e4af785d16a6e72b9af695116d273	11 Wholesale	06. 10mil -<= 100mil	01. Employees <= 10	2023	05. > 30 Years	46303.0	GKINT.COM.SG
ORBIS	e0e8f534fcdfe08095e0a8a38a5eeca2c1cc0a9566bda1ff0bab81cfbbf03e17	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	47719.0	www.oxhideleather.sg
ORBIS	ba5f2121c802b235765e4fd500f3ad6d86544722d77a1d8f06f894b6b850de04	20 Administrative & Support Services	06. 10mil -<= 100mil	03. 50 < Employees <= 200	2023	04. 20 to <= 3	78104.0	www.rmaconsultants.com.sg
ORBIS	3714f2397bb6bd4fb7e328bdf67e448540b29dd9981ac72f219d1deeaa451e28	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	46900.0	grandwise.com.sg
GMAP	ff0623456f9fb5dabb4e9151be9a51a00bbe4f4a1127dde94a5ca4bcdf6ce7a0	21 Other Services Industries	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	85409.0	www.univers.com/
ORBIS	6c7fe711d27483614efa54ac644b59f70f9e4512f9d449efaf7b7654c026212b	02 Construction	06. 10mil -<= 100mil	01. Employees <= 10	2023	04. 20 to <= 3	43295.0	www.brederoshaw.com
ORBIS	11ba6761df9dde401674dd91ea339c043658b12b87b0fe341901bb46b1a2488b	11 Wholesale	01. <=1mil	Missing EMP	2023	05. > 30 Years	46441.0	americ49.wixsite.com/mysite-1
