SOURCE	UEN	CLUSTER_DEFN	OR_CAT	EMP_SIZE	REF_YR	Age_Band	SSIC	WEBSITE
ORBIS	8cca4f6962520561ab8a9f8b6f74e85566896ea6c947bedbea4dc8c2057ea363	19 Professional Services	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	74119.0	www.nextofkincreatives.com
SGNIC	5b7b74896488e510c7cc34628d539102229a6be665bdda1afb9c6ae4d2498ce3	12 Retail Trade	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	47214.0	www.vitakids.biz
ORBIS	dae80ec1250c85b14c37904cc0430d23a717d2ffb2b865415d7b2aa76e5bc7a9	19 Professional Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	70201.0	www.original.com.sg
ORBIS	68698d3f04f5814ad75aa6690adcf093ae7b66f4070fc0ee2bfe58d295cc333d	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	69201.0	alps-global.com.sg
ORBIS	768e5378b475caa5e542ca8c0c5da1764565695be397335d6c137254b2cc4109	21 Other Services Industries	01. <=1mil	Missing EMP	2023	01. <= 5 Years	85407.0	sportstuition.com.sg
SGNIC	0e56cd29e7be2d9c7c51a17e82d53403d334239a0d213dc4ce781ce38687e6c0	19 Professional Services	01. <=1mil	Missing EMP	2023	01. <= 5 Years	70201.0	CCAS.COM.SG
SGNIC	606254b32dbae40d4f10a6737620ee7de100c93391caa79ea1cf587a1790a42e	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	46522.0	MICROSEMICON.COM.SG
SGNIC	5a49b03484b1bd4abb8c904099b9751dfcfb8a5fc6051092b4b9b67cd3bfd26b	11 Wholesale	06. 10mil -<= 100mil	03. 50 < Employees <= 200	2023	02. 5 to <= 10	46412.0	BOSS.SG
ORBIS	691160c2ef8135bcdb3e1b3cebcbef4da7cfceeb9f2e4f8788c0dd58367cba4f	02 Construction	06. 10mil -<= 100mil	03. 50 < Employees <= 200	2023	04. 20 to <= 3	43299.0	www.tom.sg
ORBIS	fcdbac51bc049520f5dad405d0873dbe3b226d76e235b4850ea6eba3ce103c36	02 Construction	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	43220.0	airoyal.com.sg
