UEN	label	predicted_proba
f750fd2d301bd72a2bd1163bd2f50281c288168da5505249bb5c3775864105a1	1	0.8140000000000001
202ea9407105123a47cc33b1e9bd3c5f5ea4747a5956ea66bd1a8eee912ce534	1	0.7020000000000001
77c1016d00654f6f633f473c20855757f70c63fac8000fec48b1e2e98b5668d7	1	0.7120000000000001
7557f04b85b18e8b428eba3188a87a4d40137c8226731b6fed8acbf3c31b3684	1	0.711
31730c9a4214197306ce13816f0a1113d2b5abc13b2f7b9894a6c8bc530e0cb5	1	0.7959999999999999
37bbcf5c069a79d7f32223728f5b4c3d7976c8f735455231616aafcb87263d94	1	0.71
b0c98f2e5eafecb5774bdaaa2cb59ed6b0a920e0879c0277e42d589561236353	1	0.7340000000000001
83181d499ef127037db6164d4cad5c7f4ae75215e1d5afeab294a07569e0ca66	1	0.754
f52f5127b8070b9229c047d6ceb710d343c0ed85615a2f35a7a99446a2468c6a	1	0.71
a31aecccb9bc26a889dbda7a10400f6387ae9ae4db3e2bfad859e28ce9a278a8	1	0.794
9d0f44fff8139303f0691ada573d442b29b3d6e5758f190b79e83d6a9f22e2e0	1	0.7040000000000001
25c5944c445cabfcafc6c6e38da52036c65143bd86974b520588a98dc338d1b3	1	0.71
411f22438df264f013912aa9ebc18689691f8428af41a4fcdeee202ac41d6b8b	1	0.902
e4f2480994d1778d06f36d29135d653ae5753c3b201b9982b5c995f18601faaf	1	0.71
fa4b3b98495be0631541de9d049b604e285a585e9eb1bc8f6beba0a916ce752d	1	0.8370000000000001
4666fda676ff7ed01beb4394c7d0463407401f8041d3f0e55bd3818f1082bd5c	1	0.7509999999999999
55fdbff399521abcd452378aee984ffa902e53f4e15d428a46224d3782b14ccf	1	0.78
4ef500c26e95dab155207c04eb8d7e041c4e1d7216e0482565f81631e938cb79	1	0.863
8f962db7e2bb2c7c2b4504f9516f9db57479701effb7955c61494bae1ec736dd	1	0.73
ecccddb31b79da0fd171ca4c031c2d837f06df10edb9154a048334368c86bb7a	1	0.706
b725d32cde8565e2b6286e64884ba76ffa700fe800c3e5d7278cbc4084c09ea3	1	0.73
3042cce33011b4727aad848c1607addbe87af3cee3202771372c3a52f0cc0c23	1	0.7609999999999999
44024c65c3bc38b5ef2b40293d69deca2af30821a1ec7cc3c2062e0603e17d7d	1	0.752
c7b1da9a830863bb60652723e7703a140c645f291ecf40364551ba4ca255210f	1	0.81
ecac62f0aec2e1fab242033a588851777d496d26831dfc3021b7088ba9be1b51	1	0.726
af7e867f6b2fe6cb10c75b92718bbdc68219d312a7715e971028030088192902	1	0.922
fde17f25775acf1477aff21eeee174e9bd040ff0b66472a04bf993fffd2b945f	1	0.716
85c3b0cc313c5c717ca41c1cbe6d6331a02a31b022d5d017ad060c40a2a9dd8f	1	0.789
a2b1e555da1713e066c6a3ed6b40005f06afc436ab6f88197389093f41344c4f	1	0.735
be7c434f78dc669d849cd8a3865b6ceb78d56aeee0fc9cfa1681b9ed4136832b	1	0.851
f8553aa0b4cab67cd3cf6bb83470869b648cf45460c88a716896d0bb5078e036	1	0.7440000000000001
c403d96663d4aa68046dd1eb885c6c7dfae36f341cb0ca971e77e180edd03df1	1	0.812
4b5f96fddef933f1cfcdee567398e8e2d5ea9ded7811258aea11fe53a2d467de	1	0.711
a2b0d918f12002282a6fb3eec74bfbbddb89aa3b3622dbfa9c3033b55e17c830	1	0.732
456c5b26023d092ddc986275f9cf49f704543d751882519649eb1d0a1ce4a0c9	1	0.81
cb19d1b93b697bd1402f8feaa077bb36155c275254e0e82b5a19eb353d75f97e	1	0.885
cddd3b21faf9e56795b86d5194f28b28f311d4a6e7ae07d53e4d5df442103124	1	0.7659999999999999
8ba9d95b19874997ac38e8b70a6256bec4e85f7f60923a13a00732aae346ead8	1	0.706
408663022b8b6b6e5b38bf8a0db4746b0c3145d67e65f600f09f3a6a278c54ba	1	0.737
186e61bce1b263d07198c33a4558f24e01065abbf69eea0f5094db3e47f2099b	1	0.767
